hyperparameters_size,5
env_name,MiniGrid-Empty-5x5-v0
discount_rate,0.9
learning_rate,0.01
lambda,0.9
n0,10
Episode,Step,Total Reward,q_value_table_length
753,13606,0.919,29
754,13615,0.919,29
755,13624,0.919,29
756,13633,0.919,29
757,13642,0.919,29
758,13651,0.919,29
759,13660,0.919,29
760,13669,0.919,29
761,13678,0.919,29
762,13687,0.919,29
763,13696,0.919,29
764,13705,0.919,29
765,13714,0.919,29
766,13723,0.919,29
767,13732,0.919,29
768,13741,0.919,29
769,13750,0.919,29
770,13759,0.919,29
771,13792,0.703,29
772,13801,0.919,29
773,13810,0.919,29
774,13819,0.919,29
775,13828,0.919,29
776,13837,0.919,29
777,13846,0.919,29
778,13855,0.919,29
779,13864,0.919,29
780,13873,0.919,29
781,13882,0.919,29
782,13891,0.919,29
783,13900,0.919,29
784,13909,0.919,29
785,13918,0.919,29
786,13927,0.919,29
787,13936,0.919,29
788,13945,0.919,29
789,13954,0.919,29
790,13963,0.919,29
791,13973,0.91,29
792,13982,0.919,29
793,13991,0.919,29
794,14000,0.919,29
795,14009,0.919,29
796,14018,0.919,29
797,14027,0.919,29
798,14036,0.919,29
799,14045,0.919,29
800,14054,0.919,29
801,14063,0.919,29
802,14072,0.919,29
803,14083,0.901,29
804,14092,0.919,29
805,14101,0.919,29
806,14110,0.919,29
807,14119,0.919,29
808,14128,0.919,29
809,14137,0.919,29
810,14146,0.919,29
811,14155,0.919,29
812,14164,0.919,29
813,14173,0.919,29
814,14182,0.919,29
815,14191,0.919,29
816,14200,0.919,29
817,14209,0.919,29
818,14218,0.919,29
819,14227,0.919,29
820,14236,0.919,29
821,14245,0.919,29
822,14254,0.919,29
823,14263,0.919,29
824,14276,0.883,29
825,14285,0.919,29
826,14294,0.919,29
827,14304,0.91,29
828,14313,0.919,29
829,14323,0.91,29
830,14332,0.919,29
831,14341,0.919,29
832,14350,0.919,29
833,14359,0.919,29
834,14368,0.919,29
835,14377,0.919,29
836,14387,0.91,29
837,14396,0.919,29
838,14405,0.919,29
839,14414,0.919,29
840,14423,0.919,29
841,14432,0.919,29
842,14441,0.919,29
843,14450,0.919,29
844,14459,0.919,29
845,14471,0.892,29
846,14480,0.919,29
847,14489,0.919,29
848,14498,0.919,29
849,14507,0.919,29
850,14516,0.919,29
851,14525,0.919,29
852,14534,0.919,29
853,14543,0.919,29
854,14552,0.919,29
855,14561,0.919,29
856,14570,0.919,29
857,14579,0.919,29
858,14588,0.919,29
859,14597,0.919,29
860,14606,0.919,29
861,14615,0.919,29
862,14624,0.919,29
863,14633,0.919,29
864,14642,0.919,29
865,14651,0.919,29
866,14660,0.919,29
867,14669,0.919,29
868,14678,0.919,29
869,14687,0.919,29
870,14696,0.919,29
871,14705,0.919,29
872,14714,0.919,29
873,14723,0.919,29
874,14732,0.919,29
875,14741,0.919,29
876,14750,0.919,29
877,14759,0.919,29
878,14768,0.919,29
879,14777,0.919,29
880,14786,0.919,29
881,14795,0.919,29
882,14804,0.919,29
883,14813,0.919,29
884,14822,0.919,29
885,14832,0.91,29
886,14841,0.919,29
887,14850,0.919,29
888,14859,0.919,29
889,14868,0.919,29
890,14877,0.919,29
891,14886,0.919,29
892,14895,0.919,29
893,14904,0.919,29
894,14913,0.919,29
